SCHOOL,SCHOOL NAME,ATTD DATE,%ATTD
06M368,THE WILLIAM LYNCH SCHOOL,9/17/2021,81.40
06M423,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,9/17/2021,NS
06M462,THE COLLEGE ACADEMY,9/17/2021,67.59
06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,9/17/2021,64.85
06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,9/17/2021,68.53
06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,9/17/2021,70.02
06M513,CASTLE BRIDGE SCHOOL,9/17/2021,82.28
06M528,I.S. 528 BEA FULLER RODGERS SCHOOL,9/17/2021,85.82
06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,9/17/2021,62.31
06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHE,9/17/2021,71.42
07X001,P.S. 001 COURTLANDT SCHOOL,9/17/2021,83.04
07X005,P.S. 5 PORT MORRIS,9/17/2021,82.48
07X018,P.S. 018 JOHN PETER ZENGER,9/17/2021,83.55
07X025,P.S. 025 BILINGUAL SCHOOL,9/17/2021,81.96
07X029,P.S. M.S. 029 MELROSE SCHOOL,9/17/2021,84.76
07X030,P.S. 030 WILTON,9/17/2021,82.28
07X031,P.S. M.S. 031 THE WILLIAM LLOYD GARRISON,9/17/2021,79.67
07X043,P.S. 043 JONAS BRONCK,9/17/2021,87.19
07X049,P.S. 049 WILLIS AVENUE,9/17/2021,84.51
07X065,P.S. 065 MOTHER HALE ACADEMY,9/17/2021,73.10
07X154,P.S. 154 JONATHAN D. HYATT,9/17/2021,83.27
07X157,P.S. 157 GROVE HILL,9/17/2021,77.13
07X161,P.S. 161 JUAN PONCE DE LEON SCHOOL,9/17/2021,77.40
07X179,P.S. 179,9/17/2021,79.14
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,9/17/2021,86.09
07X223,THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY: X,9/17/2021,85.57
07X224,P.S. I.S. 224,9/17/2021,85.97
07X259,"H.E.R.O. HIGH  HEALTH, EDUCATION, AND RESEARCH OCC",9/17/2021,72.87
07X277,P.S. 277,9/17/2021,80.72
